release_case_id,model,rule_id,error_type,gold_status,pred_status,taxonomy_l1,taxonomy_l2,actionability,is_gold_disputed,is_case_ambiguous,use_as_example
pr_case_0005,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0009,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0013,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0014,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0015,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0016,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0057,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0058,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0073,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0081,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0082,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0091,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径偏严/分支误用（需与 Gold 口径对齐）,rule_text,0,0,0
pr_case_0092,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 将诊断字段中的治疗条目视为命名不规范（Gold 允许共存）,rule_text,0,0,0
pr_case_0099,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0102,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0112,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0117,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0119,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0121,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
pr_case_0123,qwen3-30b-a3b-thinking-2507,H6,FP,PASS,FAIL,RULE_TRIGGER_BRANCH,H6 命名规范口径过严（把 ICD 当必需/校验 ICD 正确性）,rule_text,0,0,0
